Title,Score
"Yuyushiki: Komarasetari, Komarasaretari",7.31
Ginga Kikoutai Majestic Prince Movie: Kakusei no IdenshiMajestic Prince The Movie: Genetic Awakening,7.12
Karin,7.11
Heat Guy J,7.13
Isshuukan Friends. Specials,6.81
Seitokai no Ichizon Lv.2Student Council's Discretion Level 2,7.34
Ore no Imouto ga Konnani Kawaii Wake ga NaiOreImo,6.95
NG Knight Ramune & 40,7.37
Aa! Megami-sama!Oh! My Goddess,7.29
Berserk: Ougon Jidai-hen II - Doldrey KouryakuBerserk: The Golden Age Arc II - The Battle for Doldrey,7.87
Latna Saga: Survival of a Sword King,7.63
Dr. Kumahige,7.23
Chou Hatsumei Boy Kanipan,6.86
Jijou wo Shiranai Tenkousei ga Guigui Kuru. (My Clueless First Friend),7.64
Initial D First Stage,8.34
Biblia Koshodou no Jiken Techou,7.73
s (Mixed Vegetable),7.58
Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan,6.96
B'T X,7.03
Shirai Kaiu x Demizu Posuka Tenpenshuu (Kaiu Shirai x Posuka Demizu: Beyond The Promised Neverland),7.19
Kitsune no Yomeiri,7.1
Denpa Onna to Seishun Otoko,7.08
"Kanojo, Hitomishirimasu (Rent-A-(Really Shy!)-Girlfriend)",7.41
Majo no Kekkon (The Witches' Marriage),7.22
Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,7.28
Shin Chou Kyou Ryo: Condor Hero IIILegend of the Condor Hero III,7.18
Sekirei: Hajimete no Otsukai,7.04
Dekiai nante Mitomemasen!,7.09
Star Ocean: Blue Sphere,7.26
Umibe no Q (Q on the Seaside),7.1
Uchuu Patrol LulucoSpace Patrol Luluco,7.53
Suisei no GargantiaGargantia on the Verdurous Planet,7.45
Kaibutsu-kun (1980),6.82
Kuroshitsuji II SpecialsBlack Butler II Specials,7.41
Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!KonoSuba: God's Blessing on This Wonderful World! - God's Blessing on This Wonderful Choker!,7.84
Sable Prince,6.97
Hardcore Leveling Warrior,7.5
Yozakura Quartet: Hoshi no Umi,7.38
Yowamushi Pedal,7.93
Yumemiru Taiyou (Dreamin' Sun),7.63
Demi-chan wa KataritaiInterviews With Monster Girls,7.53
Puparia,7.61
H2,8.19
gdgd Fairies,6.81
Momonchi,6.97
Busou Shoujo MachiavellianismArmed Girl's Machiavellism,6.88
Long She YanyiDragon's Disciple,7.06
Pokemon Side StoriesPokémon Chronicles,6.88
Hotel: since 2079,7.35
Girls & Panzer MovieGirls und Panzer der Film,8.18
"Flanders no Inu, Boku no PatrascheA Dog of Flanders: My Patrasche",6.99
Bungou Stray Dogs 3rd SeasonBungo Stray Dogs 3,8.21
AjinAjin: Demi-Human,7.39
Hokuto no Ken - Toki Gaiden (Fist of the North Star: The Silver Saint - Toki's Story),7.28
Sunabouzu (Desert Punk),7.54
Kidou Senshi Gundam SEEDMobile Suit Gundam SEED,7.74
Shin Mazinger Shougeki! Z-henMazinger Edition Z: The Impact!,7.66
Igano Kabamaru,7.81
Soul to Seoul,7.01
Kokushi no Shima,6.93
Nicoichi,7.44
JoJo no Kimyou na Bouken: AdventureJoJo's Bizarre Adventure (OVA),7.22
Kimi no Kiss de Me wo Samasu (I wake up with your kiss.),7.11
Prince of Stride: Alternative,6.9
