Title,Score
Bokura wa Minna Kawai-souThe Kawai Complex Guide to Manors and Hostel Behavior,7.66
Meitantei Conan Movie 05: Tengoku e no CountdownCase Closed Movie 05: Countdown to Heaven,8.12
Long Zu Episode 0Dragon Raja,7.13
Heart to Give (Give to the Heart),7.08
Tezuka Osamu no Buddha: Owarinaki TabiBuddha 2: The Endless Journey,6.9
Mushoku Tensei II: Isekai Ittara Honki DasuMushoku Tensei: Jobless Reincarnation Season 2,8.3
Kyuuketsuki Marguerite to Kuenai Gokinjo (Vampire Marguerite and Inedible Neighbor),7.06
"Da Wang Rao MingSpare Me, Great Lord!",7.51
Itazura na KissItaKiss,7.42
Yuzuki-san Chi no Yonkyoudai.,7.56
Kingdom Hearts: Chain of Memories,7.44
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!Cute High Earth Defense Club LOVE! LOVE! LOVE!,6.81
Wu Shang Shen Di,7.14
Brother Auto Spot,7.43
Shokugeki no Souma: Shin no SaraFood Wars! The Fourth Plate,7.74
Zhen Wu DianfengThe Peak of True Martial Arts,6.82
Tokyo Revengers: Seiya Kessen-henTokyo Revengers: Christmas Showdown,7.68
Durarara!!x2 Ten: Onoroke ChakapokoDurarara!!x2 Ten Episode 13.5,7.52
Iya na Kao sare nagara Opantsu Misete Moraitai: Yo wa Pantsu ga Mitai zo,7.49
Senyuu.: Main Quest Dai-2 Shou,7.34
Bloody†Mary (Bloody Mary),7.64
Gungrave,7.82
Kakkou no Iinazuke,7.1
Quanzhi Fashi VI,7.04
Ore wo Suki nano wa Omae dake ka yo,6.94
Yankee-kun na Yamada-kun to Megane-chan to Majo,7.0
Yojouhan Shinwa TaikeiThe Tatami Galaxy,8.56
Zero no Tsukaima: Princesses no Rondo Picture DramaThe Familiar of Zero: Rondo of Princesses Picture Drama,6.91
Switch Girl!!,7.45
Ao no Fuuin (Blue Seal),7.09
Devil May Cry 3,7.11
Juushin LigerBio Armor Ryger,7.17
Mimi wo Sumaseba: Shiawase na Jikan (Whisper of the Heart: Happy Time),7.07
Yotteke! Otoko Mura,6.92
Getsuyoubi no Tomodachi,7.4
Fullmetal Alchemist: The Sacred Star of Milos SpecialsFullmetal Alchemist: The Sacred Star of Milos PV,6.83
Mahoraba: Heartful days,7.29
Kono Sekai no Tanoshimikata: Secret Story Film,7.38
Kataomoi no Mukougawa,7.35
Ashita no JoeTomorrow's Joe,8.3
Ling QiSpiritpact,7.19
Soukou Kihei Votoms: Kakuyaku taru ItanArmored Trooper Votoms: Brilliantly Shining Heresy,6.87
Darling in the FranXX,7.2
Lupin III: Fuuma Ichizoku no InbouLupin III: The Fuma Conspiracy,7.28
.hack//Tasogare no Udewa Densetsu (.hack//Legend of the Twilight),7.04
Servamp Specials,6.91
Touhou Ibara Kasen: Wild and Horned Hermit.,8.27
Shikabane Hime (Corpse Princess),7.25
Mimi wo SumasebaWhisper of the Heart,8.22
Fate/kaleid liner Prisma☆Illya 2wei! SpecialsFate/Kaleid Liner Prisma Illya 2Wei! Shorts,6.81
Sakurada ResetSagrada Reset,7.34
Fanren Xiu Xian Chuan 2nd SeasonA Record of a Mortal's Journey to Immortality Season 2,7.54
Shirobako Movie,7.67
Ro-Kyu-Bu! SS,7.02
Boku wa Tomodachi ga SukunaiHaganai: I don't have many friends,7.15
Corpse Party: Book of Shadows,7.07
The Greatest Wolf of My Life,6.95
11-nin Iru! (They Were 11!),7.18
InuyashikiInuyashiki: Last Hero,7.64
"Tokyo Ghoul: ""Pinto""Tokyo Ghoul: Pinto",7.2
Keyman: The Hand of Judgement,7.5
The Dark Mage's Return to Enlistment,6.92
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga YaruDragon Ball Z: Wrath of the Dragon,7.35
Seiken Densetsu: Legend of Mana,6.91
Shurayuki-hime: Fukkatsu no Shou,7.26
Haikyuu!! (OVA),7.82
Mitsubachi Hakushaku to Hana no Dress,7.17
Boku wa Tomodachi ga Sukunai NextHaganai: I don't have many friends NEXT,7.28
Gintama: The FinalGintama: The Very Final,9.04
Kare ga Kanojo wo Tsukuranai Riyuu (Why He Doesn't Have a Girlfriend),7.0
IS: Infinite Stratos - Koushiki Anthology Comic (Infinite Stratos: Official Anthology Comic),6.93
Rokudenashi Blues (Good-For-Nothing Blues),7.71
Blue Seed,7.0
Tennis no Oujisama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,7.42
Bokutachi wa Benkyou ga Dekinai!We Never Learn!: BOKUBEN Season 2,7.34
Kyoushoku Soukou Guyver (1989)The Guyver: Bio-Booster Armor,7.09
Clockwork Planet,7.33
"Clannad: Mou Hitotsu no Sekai, Tomoyo-henClannad: Another World, Tomoyo Chapter",7.93
Kyattou Ninden TeyandeeSamurai Pizza Cats,7.07
Koi wa Ameagari no You ni (After the Rain),7.77
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no YaIs It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,7.44
Yume-iro Pâtissière SP Professional,7.58
Satsuriku no TenshiAngels of Death,6.96
The Sky Crawlers,7.27
Jie YaoAntidote,7.06
Random Chat,7.22
Akuma no Riddle,6.97
Mushibugyou,7.01
Blood: the Last Vampire: Kemonotachi no Yoru (Blood: the Last Vampire: Night of the Beasts),6.96
Inazuma Eleven Go,6.99
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.57
D4DJ Double Mix,7.28
"Kono S wo, Mi yo! - Cupid no Itazura",7.03
Majutsushi OrphenOrphen,7.09
Mei to Koneko BusMei and the Baby Cat Bus,7.28
Karakuri Zoushi Ayatsuri Sakon,7.36
Mardock Scramble: The Second Combustion,7.32
Overlord III,7.92
Rainbow: Nisha Rokubou no ShichininRainbow,8.47
Hammer Session! in High School,7.05
Kenrou Densetsu (Kerberos Panzer Cop),7.06
City Hunter: Bay City Wars,7.34
Mahou Shoujo Madoka★MagicaPuella Magi Madoka Magica,8.36
Utawarerumono,7.62
Mamono-tachi wa Katazukerarenai,7.17
Shoubushi Densetsu Tetsuya,7.52
Nijiiro Hotaru: Eien no NatsuyasumiRainbow Fireflies,6.97
Vampire Knight Guilty,7.09
Himawari,7.06
Shiki Tsukai,6.92
Mai Mai Shinko to Sennen no MahouMai-Mai Miracle,7.2
Shinmai Maou no Testament: Toujou Basara no Hard Sweet na NichijouThe Testament of Sister New Devil OVA,6.91
So I Married the Anti-Fan,7.06
The Doctor Is Out,6.98
Madan no Ou to Vanadis (Lord Marksman and Vanadis),7.34
"Wake Up, Girls!",7.02
11-nin Iru!They Were Eleven,7.02
Hakuouki Movie 1: Kyoto RanbuHakuoki ~Demon of the Fleeting Blossom~ Wild Dance of Kyoto,7.6
Slayers Evolution-R,7.38
"Omoi, Omoware, Furi, FurareLove Me, Love Me Not",7.26
Keishichou Tokuhanka 007,8.15
Toe Shoes,7.35
Venus Capriccio,7.59
Pumpkin Scissors,7.16
Kapon (>_<)!,7.12
Aku no HanaFlowers of Evil,7.14
High School DxD Hero,7.24
Tari Tari,7.39
Fight Class 3,7.19
Full Metal Panic! Tanpenshuu (Full Metal Panic! Short Stories),7.49
Kao Ni La Zhanshen XitongWar God System! I'm Counting On You!,7.24
Yubisaki Milk Tea,7.08
Shujinkou Nikki,7.8
Order wa Boku de Yoroshii desu ka?,6.93
Negima!?Negima!? Magister Negi Magi,6.94
Dash! Yonkurou,6.96
Oishii Study (Delicious Study),7.06
Break Blade Movie 2: Ketsubetsu no MichiBroken Blade 2,7.71
Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan,6.86
"Chuunibyou demo Koi ga Shitai! Ren SpecialsLove, Chunibyo & Other Delusions: Heart Throb Specials",7.13
Piano no Mori (TV)Forest of Piano,7.31
Monochrome Factor,6.94
Mother's Contract Marriage,7.82
Santairiku Eiyuuki,7.04
Shin Angyo OnshiBlade of the Phantom Master,6.84
Ninja Hattori-kun,6.94
Watashi ni Tenshi ga Maiorita! Precious FriendsWataTen! An Angel Flew Down to Me: Precious Friends,7.53
Kirai,7.18
Tales of Zestiria the Cross 2nd SeasonTales of Zestiria the X Season 2,7.3
Ninpuu Kamui Gaiden,7.01
Shiki,7.94
Shinryaku!? Ika MusumeThe Squid Girl 2,7.47
Panda no Pom,6.95
Kidou Senshi Gundam Thunderbolt: December SkyMobile Suit Gundam Thunderbolt: December Sky,7.93
Onegai☆TwinsPlease Twins!,6.82
Zero (Zero - The Beginning of The Coffin),7.34
Hidan no Aria (Aria the Scarlet Ammo),7.79
Ore ga Heroine wo Tasukesugite Sekai ga Little Apocalypse!?,6.94
Special ASpecial A (S.A),7.5
Kaizoku to Ningyo (Pirate and Mermaid),7.39
Kimi ni shika Kikoenai:  (Calling You),7.64
Kirara no Hoshi,7.16
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta KizunaYu-Gi-Oh! 3D: Bonds Beyond Time,7.13
Gokujou Koibana: Perfect Love Stories Best 5,6.93
Jaku-Chara Tomozaki-kunBottom-Tier Character Tomozaki,7.12
Senkou no Night RaidNight Raid 1931,6.83
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken (The Angel Next Door Spoils Me Rotten),7.94
Rozen Maiden: Ouvertüre,7.72
Kidou Senshi Gundam III: Meguriai Sora-henMobile Suit Gundam III: Encounters in Space,7.74
Working!!Wagnaria!!,7.65
Junjou Romantica OVA,7.69
Angelic Layer,7.12
Kokoro Connect: Michi RandomKokoro Connect OVA,7.92
Kantan na Monitor desu,7.19
I'll Save This Damned Family!,7.26
Spider-Man: Itsuwari no Aka (Spider-Man: Fake Red),7.45
JoJo no Kimyou na Bouken Part 6: Stone OceanJoJo's Bizarre Adventure: Stone Ocean,8.15
Kidou Senshi Gundam: Cucuruz Doan no ShimaMobile Suit Gundam: Cucuruz Doan's Island,7.35
Choppiri Toshiue demo Kanojo ni Shite Kuremasu ka? (Are You Okay With a Slightly Older Girlfriend?),6.95
New Initial D Movie: Battle Digest,7.38
Kisses x Kiss x Kisses,7.22
Sword Art Online: Alicization - Recollection,6.81
Return of the War God,7.23
Nichijou: Nichijou no 0-waMy Ordinary Life Episode 0,7.4
Paniponi Dash!,7.43
Tenchi Muyou! RyououkiTenchi Muyo! Ryo-Ohki,7.61
Berserk: Ougon Jidai-hen III - KourinBerserk: The Golden Age Arc III - The Advent,8.2
Asahina Wakaba to ○○ na Kareshi (Asahina Wakaba & Her Chubby-Chubby Boyfriend),7.5
Mahou Sensei Negima!: Mou Hitotsu no Sekai,7.55
Giant Gorg,7.22
Coffee Moon,7.09
Ixion Saga DT,7.14
Uzaki-chan wa Asobitai!Uzaki-chan Wants to Hang Out!,6.99
Asumi Kakeru (Martial Master Asumi),7.01
Koishita node Cast shitemita (I Fell in Love So I'm Streaming It),7.07
Maou Sounanchuu!!! Yukai na Nakama-tachi wo Soete,7.15
Nerima Daikon Brothers,7.27
Online Game Nakama to Sashi Off shitara Shokuba no Oni Joushi ga Kita (Turns Out My Online Friend is My Real-Life Boss!),7.58
Love Wan!,7.0
Kuroko no Basket 3rd Season NG-shuu,7.67
Juubee-chan 2: Siberia Yagyuu no GyakushuuJubei-chan 2: The Counterattack of Siberia Yagyu,6.87
Yowamushi Pedal: Spare Bike,7.46
Risou no Himo Seikatsu (The Ideal Sponger Life),7.36
Koi Kaze,7.02
Tribe Cool Crew,6.92
Saihate no Paladin (The Faraway Paladin),7.81
Asoko de Hataraku Musubu-san,7.01
Offside (TV),7.13
"Ore to Hero to Mahou Shoujo (I, Superhero and Magical Girl)",6.99
Doors of Chaos,7.23
Dosanko Gal wa Namara Menkoi (Hokkaido Gals Are Super Adorable!),7.07
Futatsu no SpicaTwin Spica,7.37
Itou Junji Kenkyuu: Horror no Shinen kara,7.51
Witchblade,7.21
Yume-iro Pâtissière: Mune Kyun Tropical Island!,7.13
Doom Breaker,7.79
Tantei Opera Milky Holmes Dai 2 MakuDetective Opera Milky Holmes 2,7.2
Dragon Ball Z,8.17
Kyouryuu Boukenki Jura Tripper,7.22
Release the Spyce,6.94
New Dominion Tank Police,6.89
"Koi toka, Kiss toka, Karada toka.",7.18
Colorful (Movie)Colorful: The Motion Picture,7.75
Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch (Umineko WHEN THEY CRY Episode 4: Alliance of the Golden Witch),8.28
Kankei wa Mada Lv.1 (The First Stage of Love),7.13
Ore wo Suki nano wa Omae dake ka yoORESUKI Are you the only one who loves me?,7.31
Ao Haru Ride,8.14
Yukionna Gensou: Michiyuki-hen,6.92
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai: Kinyoubi no OhayouI've Always Liked You: A Friday's Good Morning,7.16
Parallel Lines,7.08
Hanazakari de Koi Shiteru,6.95
Zhengjing Shao Zhu de Xingfu ShenghuoThe Little Master's Better Life,6.87
Tetsudou Shoujo Manga (Maiden Railways),6.98
Sakura Quest,7.39
High School DxD Specials,7.27
"Final Fantasy Reishiki Gaiden: Hyouken no Shinigami (Final Fantasy Type-0 Side Story, The Ice Reaper)",7.26
Minami-ke Tadaima,7.65
Seijo no Maryoku wa Bannou desu (The Saint's Magic Power Is Omnipotent),7.3
Sketchbook: Full Color'sSketchbook ~full color's~,7.39
Kuroshitsuji IIBlack Butler II,7.14
Wanitokagegisu,7.25
Xian Wu Chuan 2Legend of Xianwu 2nd Season,6.91
Nagasarete Airantou,7.22
Kami to Yobareta Kyuuketsuki,7.17
"Ano Ko no, Toriko.",7.13
Shouwa Otome Otogibanashi,7.25
Barakamon,8.44
Hoshikuzu TelepathStardust Telepath,7.22
Ike! Ina-chuu Takkyuu-buThe Ping-Pong Club,7.51
Isekai Quartet,7.38
Isekai Quartet 2,7.36
Vassalord.,8.04
Uchi no Kaisha no Chiisai Senpai no HanashiMy Tiny Senpai,6.91
Clover no Kuni no Alice: Kishi no Kokoroe (Alice in the Country of Clover: Knight's Knowledge),7.02
Uchuu Kenetsukan (Cosmic Censorship),6.98
Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa SeishunHaikyuu!! Special Feature! The Spring Tournament of Their Youth,7.53
Ubau Mono Ubawareru Mono (Bereave or Bereaved),7.29
TRPG Player ga Isekai Saikyou Build wo Mezasu: Henderson-shi no Fukuin wo (Min-Maxing My TRPG Build in Another World: Preach the Good Word of Mr. Henderson),7.37
Love Hina Again,7.21
Romeo no Aoi SoraRomeo and the Black Brothers,8.33
Minami no Jewel (Minami's Jewel),7.02
Honey Lemon Soda,7.67
Canaan,7.22
16bit Sensation: Another Layer,6.96
Koi Neko,7.08
Buddy Go!,7.6
Bakuman. 2nd SeasonBakuman. Season 2,8.34
Himitsu no Juliet (Juliet's Secret),7.03
Uchuu Senkan Yamato 2Star Blazers: The Comet Empire,7.46
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga ChoudoyoiGintama: Jump Festa 2005 Special,8.08
Wo Shi Da Shenxian 2nd SeasonDa Shen Xian,6.81
The Great Catsby,7.05
Mushikaburi-hime (Bibliophile Princess),7.1
Mahoromatic Summer Special,7.08
Shin Kozure Ookami: Lone Wolf (New Lone Wolf & Cub),7.4
Kaze ga Tsuyoku FuiteiruRun with the Wind,8.39
Asa Chun!,6.98
Time Killers (Time Killers: Kazue Kato Short Story Collection),7.4
Vitamin,7.64
Di Gi Charat Theater: Dejiko's Summer Vacation,6.99
Absolute Witch,7.68
Slayers Evolution-R,7.38
Zhu XianJade Dynasty,7.34
Stand Up!!!!,7.21
Kaichou-san Chi no Koneko,7.03
A Small World,7.22
Kanojo no Idea,7.29
Mirai Shounen ConanFuture Boy Conan,8.11
High School DxD: Akuma no Oshigoto,7.27
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2Mushoku Tensei: Jobless Reincarnation Part 2,8.68
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!WataMote: No Matter How I Look At It, It's You Guys' Fault I'm Not Popular!",6.99
Maou na Ore to Ghoul no Yubiwa,7.04
Xian Wang de Richang ShenghuoThe Daily Life of the Immortal King,7.33
Higashi no Eden: Air CommunicationEden of The East Compilation: Air Communication; Higashi no Eden Recap,7.56
Tsurune Movie: Hajimari no IsshaTsurune the Movie: The First Shot,7.37
Sakura no Himegoto (The Secret Sakura Shares),6.92
Underground Kids: Gakuen Onmitsu Torimono,7.17
Release the Spyce,6.94
Starmyu 2nd SeasonSTARMYU Season 2,7.28
Hoshi no KirbyKirby: Right Back at Ya!,6.9
Kimi no Sekai ni Koi wa Nai (Is Love the Answer?),7.77
Tu Bian Ying Xiong LeafTo Be Heroine,6.99
Yuri Mekuru Hibi,6.92
Mochizuki-san Chi no Yankee,7.29
Urusei Yatsura (2022)Urusei Yatsura,7.41
Popee the PerformerPopee the Clown,7.23
Blend SBLEND-S,7.26
Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta (My Daughter Left the Nest and Returned an S-Rank Adventurer),7.3
Black Clover: Abareushi no Sho,7.41
Zettai Karen ChildrenPsychic Squad,7.29
Isekai OjisanUncle from Another World,7.81
Itou Junji Kyoufu Manga Collection: Souichi no Noroi Nikki,7.38
Need a Girl!,7.1
Kidou Senshi Gundam: The OriginMobile Suit Gundam: The Origin,8.33
Nazo no Kanojo X (Mysterious Girlfriend X),7.76
Super Secret,7.84
Kingdom Hearts II,7.78
Bishoujo Senshi Sailor Moon Eternal Movie 1Pretty Guardian Sailor Moon Eternal The Movie Part 1,7.55
Puchimas!: Petit iDOLM@STERPUCHIM@S,7.12
Erementar Gerad (Elemental Gelade),7.47
Gintama: Shinyaku Benizakura-hen,8.28
Kimi ni Todoke 2nd SeasonKimi ni Todoke: From Me to You Season 2,7.98
Himitsu no Ai-chan,7.64
Gravitation: Voice of Temptation,7.29
Golden Kamuy,8.64
Kiss shitai Otoko,7.3
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,7.36
Hakuouki: Hekketsuroku - Kyoto Kaisouroku,7.11
Chihayafuru: Chuugakusei-hen,7.36
5-toubun no HanayomeThe Quintessential Quintuplets,7.65
Eden: It's an Endless World!,8.24
Junjou Drop,7.45
Dr. Stone: New World Part 2,8.36
Prison School,7.6
"Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero (Re:ZERO -Starting Life in Another World-, Chapter 3: Truth of Zero)",8.11
Yomigaeru Sora: Rescue Wings - Saigo no Shigoto,6.85
Mahou Shoujo Madoka★Magica: Concept MoviePuella Magi Madoka Magica Concept Movie,7.14
Yume ga Sameru madeBefore You Wake Up,6.88
Minky Momo in Yume ni Kakeru HashiMinky Momo in the Bridge Over Dreams,7.05
Boku wa Sakana.,7.01
Kanata kara (From Far Away),8.34
Dragon Ball Kai (2014)Dragon Ball Z Kai: The Final Chapters,7.69
Tales of Berseria,7.2
Tenchi Muyou! Manatsu no EveTenchi the Movie 2: Daughter of Darkness,7.1
Gomashio to Pudding (Black Sesame Salt and Custard Pudding),7.9
: Märchen☆Prince (MeruPuri),8.01
Petshop of Horrors,8.25
One Piece Film: Gold Episode 0 - 711 ver.,7.2
Aikatsu! 10th Story: Mirai e no Starway,6.94
Disciple of the Holy Sword,6.95
Mizuiro Jidai (Aqua Age),7.2
Yu☆Gi☆Oh!,7.23
JoJo no Kimyou na Bouken Part 5: Ougon no KazeJoJo's Bizarre Adventure: Golden Wind,8.58
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu (Skeleton Knight in Another World)",7.11
Slayers Excellent,7.3
Towa no Quon 6: Towa no QuonTowanoquon: Eternal Quon,7.57
Gal Yome no Himitsu,7.04
Digimon X-Evolution,7.06
Monster Hunter Orage,7.06
FLCL,7.74
Bu Tian Ge (Song of the Sky Pacers),7.19
Girl Queen (Little Queen),7.2
Dragon Ball Movie 4: Saikyou e no MichiDragon Ball: The Path to Power,7.13
Doctor's Rebirth,7.22
Summertime RenderSummer Time Rendering,8.49
Seijo no Maryoku wa Bannou desu (The Saint's Magic Power Is Omnipotent),7.37
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai: Kinyoubi no OhayouI've Always Liked You: A Friday's Good Morning,7.16
Batuque,7.43
Mobuko no Koi (A Side Character's Love Story),7.39
Jungle Taitei (1989),6.83
Hanhua RijiGod Troubles Me,7.24
Change!! Getter Robo: Sekai Saigo no HiGetter Robo: Armageddon,7.74
The Sword of Emperor,7.26
Deep Love: Host,7.62
Dagashi Kashi 2,6.83
Nononono,7.31
Kidou Senshi Gundam IMobile Suit Gundam I,7.24
Colorful Line,7.13
Aa toka Uu shika Ienai,7.21
Digimon Adventure: Last Evolution Kizuna,8.17
PokemonPokémon,7.38
Ben-To,7.22
Toaru Kagaku no RailgunA Certain Scientific Railgun,7.66
Mo Dao Zu Shi: Xian Yun PianThe Founder of Diabolism Season 2,8.37
"Haru Tsuzuru, Sakura Saku Kono Heya de (Composing Spring in This Room Where Cherry Blossoms Bloom)",7.35
To LOVE-Ru: Rito to Sayaka no Houkago,7.11
Touko-san wa Kaji ga Dekinai.,6.93
K,7.1
Shine Post,7.52
Tai Sekaiyou Mahou Shoujo Tsubame (Magical Girl Tsubame: I Will (Not) Save the World!),6.91
Mirai Delivery: Chiisana Asimov to Midori no Wasuremono (Hatsune Miku: Future Delivery - Little Asimov and the Green Thing Left Behind),6.92
Akuma ni Itsukushimi no Te wo,7.44
Ojamajo Doremi Sharp Movie,7.17
Hoshifuru Oukoku no Nina (Nina the Starry Bride),7.55
Tears to Tiara,7.15
Durarara!! Specials,7.85
Heart no Kuni no Alice: My Fanatic Rabbit (Alice in the Country of Hearts: My Fanatic Rabbit),7.26
Shoujo☆Kageki Revue StarlightRevue Starlight,7.67
Kabukichou SherlockCase File nº221: Kabukicho,6.89
Hoozuki no Reitetsu 2nd Season: Sono NiHozuki's Coolheadedness 2: Part 2,7.85
King of Prism: Pride the Hero,6.85
Yi Nian Yong Heng: Chuan Cheng PianA Will Eternal 2nd Season,7.85
Heroine Tarumono! Kiraware Heroine to Naisho no OshigotoHeroines Run the Show: The Unpopular Girl and the Secret Task,7.28
Kobayashi-san Chi no Maid Dragon: Elma no OL Nikki (Miss Kobayashi's Dragon Maid: Elma's Office Lady Diary),7.41
Youjo Senki (The Saga of Tanya the Evil),8.43
Nagasarete Airantou,7.22
Kondo koso Shiawase ni Narimasu! (This Time I Will Find Happiness!),7.13
Fight no Akatsuki,7.27
Life,7.99
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no HououRanma ½: Team Ranma vs. The Legendary Phoenix,7.35
Rakudai Kishi no Cavalry (Chivalry of a Failed Knight),8.02
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.78
Zero kara Hajimeru Mahou no Sho,7.59
Zoku Shishunki Miman Okotowari,6.92
Chronicles of the Cursed Sword,6.92
KuroshitsujiBlack Butler,7.66
Nodame Cantabile,8.26
Haruka na Machi e (A Distant Neighborhood),7.98
Rengoku ni Warau,7.86
Shiiku Hime (Mistress Princess),6.93
Otome wa Boku ni KoishiteruOtoboku: Maidens are Falling for Me!,7.03
Wortenia Senki (Record of Wortenia War),7.18
Ranma ½: Akumu! Shunmin Kou,7.49
Love Allergy,7.02
GetBackers,7.62
Suzuka,7.87
Hakozume: Kouban Joshi no GyakushuuPolice in a Pod,7.17
Aria,8.63
Starship Operators,7.03
Ranma ½: Tendou-ke no Oyobidenai Yatsura!,6.85
Wedding,7.13
Kimi ga Shinu made Koi wo Shitai (My Wish Is to Fall in Love Until You Die.),8.05
Tales of the Abyss: Tsuioku no Jade,7.37
Houkago Guitar,6.91
Uchi no Maid ga Uzasugiru!UzaMaid!,6.87
Da Yu Hai Tang (Movie)Big Fish & Begonia,7.47
γ,7.24
Bokkou,7.7
Beyblade Burst GodBeyblade Burst Evolution,7.04
Detroit Metal City,8.1
Utawarerumono,7.62
Kemurikusa (TV),7.09
One Piece Movie 01One Piece: The Movie,7.09
The Breaker,8.39
Nageku Shinigami,7.48
Liehuo Jiao ChouDrowning Sorrows in Raging Fire,7.09
Catulus Syndrome,7.56
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner MovieRe:ZERO -Starting Life in Another World- The Frozen Bond: Manner Movie,7.51
Acaria,6.91
Bakuten Shoot Beyblade G RevolutionBeyblade G Revolution,6.96
Vampire in the Garden,7.12
Dead Mount Death Play,7.55
Eikoku Koi Monogatari Emma: Molders-henEmma: A Victorian Romance Season Two,7.81
Isekai Nonbiri NoukaFarming Life in Another World,7.57
Ginga Tetsudou MonogatariThe Galaxy Railways,7.06
Yondome wa Iya na Shizokusei Majutsushi (The Death Mage),7.04
4 Cut Hero,7.94
Yabai Kimochi (Desire: Dangerous Feelings),7.06
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta (I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too)",7.09
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide KudasaiMiss Kobayashi's Dragon Maid: Valentine's, and Then Hot Springs! (Please Don't Get Your Hopes Up)",7.71
Area no KishiThe Knight in the Area,7.17
Kidou Senkan NadesicoMartian Successor Nadesico,7.49
Saiyuuki Reload: Burial,7.75
Strike the Blood IV,6.96
Asadora!,7.67
Sanda,6.93
Macademi Wasshoi!Magician's Academy,6.92
5-toubun no Hanayome MovieThe Quintessential Quintuplets Movie,7.86
Yuu Watase Best Selection,6.96
Punch!,7.27
G-senjou no Maou Comic Anthology (The Devil on G-String Comic Anthology),7.33
Kiddy Grade: Truth Dawn,7.05
Kokumin Quiz,7.34
City Hunter,8.15
Salad Days,7.66
Tsukihime: A Piece of Blue Glass Moon - Comic Anthology,7.35
Tasogare Otome x AmnesiaDusk Maiden of Amnesia,7.82
ShashinkanThe Portrait Studio,7.29
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi (The Great Cleric: White-Collar Survival in Another World)",7.37
Shinryaku! Ika MusumeThe Squid Girl,7.41
Hitogoto desukara! (It's Personnel!),6.92
Hunter x Hunter Movie 1: Phantom RougeHunter x Hunter: Phantom Rouge,7.27
Ao no Exorcist: Kuro no IedeBlue Exorcist: Runaway Kuro,7.28
Nomi Joshi,7.08
Shakunetsu no Takkyuu MusumeScorching Ping Pong Girls,7.07
Hello Harinezumi,7.26
School Rumble,7.98
Hirogaru Sky! PrecureSoaring Sky! Pretty Cure,7.63
Danball Senki WLBX: Little Battlers eXperience Season 2,7.02
Level E,7.42
Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi eStrawberry 100%: Love Begins?!,6.82
Fanren Xiu Xian Chuan: Xinghai Feichi Pian XuzhangA Record of Mortal's Journey to Immortality: Speeding in the Sea of Stars,7.58
Shuumatsu no Walküre IIRecord of Ragnarok II,7.51
Ibitsu,6.99
Koukaku no RegiosChrome Shelled Regios,7.27
"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni AttemasuIs This a Zombie? Of the Dead OVA",7.43
Girls & Panzer: Saishuushou Part 2 Specials,7.23
Jashin Average (Average of Evil Gods),7.39
"Kimi wa, Ore ga Suki da tte Ittara Donna Kao suru darou. (What if I said I love you.)",7.27
Yano-kun no Futsuu no Hibi (Mr. Yano's Ordinary Days),7.27
A-Channel: Nabe wo TabeyouA-Channel: Let's Eat Hot Pot,6.86
Karneval,7.0
"""Bungaku Shoujo"" Movie",7.33
Hitorijime My Hero,7.29
Koi ni Mudaguchi,7.06
Mairimashita! Iruma-kun (Welcome to Demon School! Iruma-kun),8.34
Joshikousei: Girls-High (High School Girls),7.49
Mushishi Zoku Shou: Suzu no Shizuku,8.59
